"","x"
"1","American Physiological Society"
"2","Association for Computing Machinery (ACM)"
"3","Bioscientifica"
"4","BMJ"
"5","Brill Academic Publishers"
"6","Cambridge University Press (CUP)"
"7","Cold Spring Harbor Laboratory"
"8","The Company of Biologists"
"9","European Respiratory Society (ERS)"
"10","Future Science Group"
"11","IOP Publishing"
"12","IWA Publishing"
"13","Karger Publishers"
"14","Microbiology Society"
"15","Oxford University Press (OUP)"
"16","Portland Press"
"17","Rockefeller University Press"
"18","Royal College of General Practitioners"
"19","Royal Irish Academy"
"20","SAGE Publications"
"21","Springer"
"22","Geological Society of London"
"23","The Royal Society"
"24","Thieme"
"25","De Gruyter"
"26","Wiley"
"27","Taylor & Francis"
"28","Royal Society of Chemistry (RSC)"
